epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2610.84,1.19275,1.00342,1.36617,0.84556,0.80767,0.84984,0.54467,1.21935,0.77193,1.39235,0.000988007,0.000988007,0.000988007
146,2628.75,1.2088,0.95058,1.37008,0.85078,0.78195,0.83096,0.52533,1.28901,0.84382,1.45472,0.000983292,0.000983292,0.000983292
147,2646.71,1.17168,0.86532,1.29071,0.86012,0.81974,0.84524,0.52893,1.29738,0.76674,1.44512,0.000978577,0.000978577,0.000978577
148,2664.63,1.1781,0.94691,1.35236,0.88057,0.81579,0.85289,0.55674,1.20464,0.71592,1.40381,0.000973861,0.000973861,0.000973861
149,2682.53,1.17024,0.90224,1.32542,0.83124,0.83835,0.8523,0.53584,1.24812,0.74755,1.45424,0.000969146,0.000969146,0.000969146
150,2700.51,1.18978,0.931,1.34949,0.83259,0.84962,0.85703,0.52901,1.29831,0.90231,1.45035,0.000964431,0.000964431,0.000964431
151,2718.5,1.14937,0.92475,1.33417,0.85676,0.80075,0.85265,0.51658,1.32832,0.89474,1.46279,0.000959716,0.000959716,0.000959716
152,2736.41,1.16935,0.98463,1.34237,0.79472,0.82533,0.81892,0.53276,1.27186,1.1131,1.44654,0.000955,0.000955,0.000955
153,2754.35,1.19164,0.94784,1.34383,0.79258,0.80451,0.8372,0.51839,1.33413,0.81726,1.47905,0.000950285,0.000950285,0.000950285
154,2772.31,1.16765,0.92218,1.34635,0.85479,0.77068,0.8206,0.52709,1.27689,0.80502,1.44204,0.00094557,0.00094557,0.00094557
155,2790.51,1.12339,0.90096,1.34402,0.83179,0.84356,0.85908,0.56035,1.1601,0.7819,1.36341,0.000940855,0.000940855,0.000940855
156,2808.65,1.14412,0.93597,1.30542,0.85652,0.81579,0.87038,0.55622,1.21932,0.76003,1.37998,0.00093614,0.00093614,0.00093614
157,2826.53,1.13578,0.91014,1.29284,0.88501,0.80827,0.86557,0.54265,1.24472,0.75469,1.39938,0.000931424,0.000931424,0.000931424
158,2844.4,1.11593,0.8921,1.3042,0.88828,0.81579,0.84173,0.54002,1.20041,0.80182,1.37604,0.000926709,0.000926709,0.000926709
159,2862.29,1.13443,0.8771,1.31178,0.88806,0.81955,0.86623,0.54196,1.23635,0.71565,1.40013,0.000921994,0.000921994,0.000921994
160,2880.2,1.11047,0.87367,1.28835,0.8761,0.81955,0.85582,0.54803,1.26087,0.71786,1.39719,0.000917279,0.000917279,0.000917279
